#string_protein_id	preferred_name	protein_size	annotation
10090.ENSMUSP00000000206	Btbd17	478	BTB/POZ domain-containing protein 17.
10090.ENSMUSP00000000208	Slfn4	602	Schlafen 4.
10090.ENSMUSP00000000219	Th	498	Tyrosine 3-monooxygenase; Plays an important role in the physiology of adrenergic neurons.
10090.ENSMUSP00000000221	Scnn1g	655	Amiloride-sensitive sodium channel subunit gamma; Sodium permeable non-voltage-sensitive ion channel inhibited by the diuretic amiloride. Mediates the electrodiffusion of the luminal sodium (and water, which follows osmotically) through the apical membrane of epithelial cells. Plays an essential role in electrolyte and blood pressure homeostasis, but also in airway surface liquid homeostasis, which is important for proper clearance of mucus. Controls the reabsorption of sodium in kidney, colon, lung and sweat glands. Also plays a role in taste perception; Belongs to the amiloride-sensi [...] 
10090.ENSMUSP00000000253	Lhx2	406	LIM/homeobox protein Lhx2; Acts as a transcriptional activator. Stimulates the promoter of the alpha-glycoprotein gene. Transcriptional regulatory protein involved in the control of cell differentiation in developing lymphoid and neural cell types.
10090.ENSMUSP00000000254	Clec2g	269	C-type lectin domain family 2 member G; Inhibits osteoclast formation.
10090.ENSMUSP00000000260	Gmpr	345	GMP reductase 1; Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides.
10090.ENSMUSP00000000266	Ifi202b	445	Interferon-activable protein 202; Inhibits the transcriptional activity of several transcription factors, including NF-kappa-B p50 and p65, FOS, JUN, E2F1, E2F4, MYOD1 and myogenin. Has anti-apoptotic effects due to inhibition of the transcriptional activity of p53. Binds dsDNA in the cytosol. Is involved in innate immune response and has anti- inflammatory activity. Inhibits caspase activation in response to cytosolic DNA and inhibits the activation of the AIM2 inflammasome, probably by sequestering cytoplasmic DNA and preventing its being bound by AIM2; Belongs to the HIN-200 family.
10090.ENSMUSP00000000275	Glra3	480	Glycine receptor subunit alpha-3; Glycine receptors are ligand-gated chloride channels. Channel opening is triggered by extracellular glycine. Channel characteristics depend on the subunit composition; heteropentameric channels display faster channel closure (By similarity). Plays an important role in the down-regulation of neuronal excitability. Contributes to the generation of inhibitory postsynaptic currents. Contributes to increased pain perception in response to increased prostaglandin E2 levels. Plays a role in the regulation of breathing rhythm, especially of the duration of the [...] 
10090.ENSMUSP00000000287	Scpep1	452	Retinoid-inducible serine carboxypeptidase; May be involved in vascular wall and kidney homeostasis; Belongs to the peptidase S10 family.
10090.ENSMUSP00000000291	Mnt	591	Max-binding protein MNT; Binds DNA as a heterodimer with MAX and represses transcription. Binds to the canonical E box sequence 5'-CACGTG-3' and, with higher affinity, to 5'-CACGCG-3'.
10090.ENSMUSP00000000299	Itgb2	770	Integrin beta-2; Integrin ITGAL/ITGB2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin ITGAL/ITGB2 is also a receptor for the secreted form of ubiquitin-like protein ISG15; the interaction is mediated by ITGAL (By similarity). Integrins ITGAM/ITGB2 and ITGAX/ITGB2 are receptors for the iC3b fragment of the third complement component and for fibrinogen. Integrin ITGAX/ITGB2 recognizes the sequence G-P-R in fibrinogen alpha-chain. Integrin ITGAM/ITGB2 recognizes P1 and P2 peptides of fibrinogen gamma chain. Integrin ITGAM/ITGB2 is also a receptor for factor X. Integrin ITGAD/ITG [...] 
10090.ENSMUSP00000000304	Hddc2	199	HD domain-containing protein 2; Belongs to the HDDC2 family.
10090.ENSMUSP00000000305	Tpd52l1	204	Tumor protein D53.
10090.ENSMUSP00000000312	Cdh1	884	Cadherin-1; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. CDH1 is involved in mechanisms regulating cell-cell adhesions, mobility and proliferation of epithelial cells. Has a potent invasive suppressor role. It is a ligand for integrin alpha-E/beta-7 (By similarity).  (Microbial infection) Does not function as a receptor for L.monocytogenes internalin A (InlA); mutating a single surface-exposed residue confers recep [...] 
10090.ENSMUSP00000000314	Cdh4	913	Cadherin-4; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May play an important role in retinal development.
10090.ENSMUSP00000000317	Ckmt1	418	Creatine kinase U-type, mitochondrial; Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoa; Belongs to the ATP:guanido phosphotransferase family.
10090.ENSMUSP00000000326	Bcl6b	474	B-cell CLL/lymphoma 6 member B protein; Acts as a sequence-specific transcriptional repressor in association with BCL6. Necessary for activation of naive T-cells to antigenic stimulation. May attenuate the regulatory effect of BCL6 on antigenic activation of naive CD4 T-cells by forming a heterodimer with BCL6.
10090.ENSMUSP00000000327	Clec10a	305	C-type lectin domain family 10 member A; Recognizes terminal galactose and N-acetylgalactosamine units. May participate in the interaction between tumoricidal macrophages and tumor cells. Plays a role in the recruitment of inflammatory monocytes to adipose tissue in diet-induced obesity.
10090.ENSMUSP00000000329	Alox12	663	Arachidonate 12-lipoxygenase, 12S-type; Catalyzes the regio and stereo-specific incorporation of a single molecule of dioxygen into free and esterified polyunsaturated fatty acids generating lipid hydroperoxides that can be further reduced to the corresponding hydroxy species. Mainly converts arachidonic acid to (12S)- hydroperoxyeicosatetraenoic acid/(12S)-HPETE but can also metabolize linoleic acid. In contrast does not react towards methyl esters of linoleic and arachidonic acids. Also catalyzes the epoxidation of double bonds of polyunsaturated fatty acids such as 14S-hydroperoxy-d [...] 
10090.ENSMUSP00000000342	Ccl11	97	Eotaxin; In response to the presence of allergens, this protein directly promotes the accumulation of eosinophils (a prominent feature of allergic inflammatory reactions), but not lymphocytes, macrophages or neutrophils; Belongs to the intercrine beta (chemokine CC) family.
10090.ENSMUSP00000000348	Rtca	366	RNA 3'-terminal phosphate cyclase; Catalyzes the conversion of 3'-phosphate to a 2',3'-cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA-N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'-phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing (By similarity); Belongs to the RNA 3'-terminal cyclase family. [...] 
10090.ENSMUSP00000000349	Dbt	482	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase); The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3). Within this complex, the catalytic function of this enzyme is to accept, and to transfer to coenzyme A, acyl groups that are generated by the branched-chain alpha-keto acid decarboxylase component.
10090.ENSMUSP00000000356	Dazap2	168	DAZ-associated protein 2.
10090.ENSMUSP00000000365	Mcts1	181	Malignant T-cell-amplified sequence 1; Anti-oncogene that plays a role in cell cycle regulation; decreases cell doubling time and anchorage-dependent growth; shortens the duration of G1 transit time and G1/S transition. When constitutively expressed, increases CDK4 and CDK6 kinases activity and CCND1/cyclin D1 protein level, as well as G1 cyclin/CDK complex formation. Involved in translation initiation; promotes recruitment of aminoacetyled initiator tRNA to P site of 40S ribosomes. Can promote release of deacylated tRNA and mRNA from recycled 40S subunits following ABCE1-mediated diss [...] 
10090.ENSMUSP00000000369	Rem1	297	GTP-binding protein REM 1; Promotes endothelial cell sprouting and actin cytoskeletal reorganization (By similarity). May be involved in angiogenesis. May function in Ca(2+) signaling; Belongs to the small GTPase superfamily. RGK family.
10090.ENSMUSP00000000384	Trappc10	1258	Trafficking protein particle complex subunit 10; May play a role in vesicular transport from endoplasmic reticulum to Golgi.
10090.ENSMUSP00000000388	Ccm2	453	Cerebral cavernous malformations protein 2 homolog; Component of the CCM signaling pathway which is a crucial regulator of heart and vessel formation and integrity. May act through the stabilization of endothelial cell junctions. May also function as a scaffold protein for MAP2K3-MAP3K3 signaling. Seems to play a major role in the modulation of MAP3K3-dependent p38 activation induced by hyperosmotic shock.
10090.ENSMUSP00000000395	Tmprss2	490	Transmembrane protease serine 2 non-catalytic chain; Serine protease that proteolytically cleaves and activates the viral spike glycoproteins which facilitate virus-cell membrane fusions. The spike proteins are synthesized and maintained in precursor intermediate folding states and proteolysis permits the refolding and energy release required to create stable virus-cell linkages and membrane coalescence. Facilitates human SARS coronavirus (SARS-CoV) infection via two independent mechanisms, proteolytic cleavage of ACE2, which might promote viral uptake, and cleavage of coronavirus spik [...] 
10090.ENSMUSP00000000412	Egfl6	550	Epidermal growth factor-like protein 6; May bind integrin alpha-8/beta-1 and play a role in hair follicle morphogenesis. Promotes matrix assembly. Belongs to the nephronectin family.
10090.ENSMUSP00000000421	Tssk3	268	Testis-specific serine/threonine-protein kinase 3; May be involved in a signaling pathway during male germ cell development or mature sperm function; Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family.
10090.ENSMUSP00000000445	Myf5	255	Myogenic factor 5; Acts as a transcriptional activator that promotes transcription of muscle-specific target genes and plays a role in muscle differentiation. Together with MYOG and MYOD1, co-occupies muscle-specific gene promoter core region during myogenesis. Induces fibroblasts to differentiate into myoblasts. Probable sequence specific DNA-binding protein.
10090.ENSMUSP00000000449	Mkrn2	416	Probable E3 ubiquitin-protein ligase makorin-2; E3 ubiquitin ligase catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins.
10090.ENSMUSP00000000450	Pparg	505	Peroxisome proliferator-activated receptor gamma; Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase. It therefore controls the peroxisomal beta-oxidation pathway of fatty acids. Key regulator of adipocyte differentiation and glucose homeostasis. ARF6 acts as a key regulator of the tissue-specific adipocyte P2 (aP2) enhancer. Acts as a critical regulator of gut ho [...] 
10090.ENSMUSP00000000451	Raf1	648	RAF proto-oncogene serine/threonine-protein kinase; Serine/threonine-protein kinase that acts as a regulatory link between the membrane-associated Ras GTPases and the MAPK/ERK cascade, and this critical regulatory link functions as a switch determining cell fate decisions including proliferation, differentiation, apoptosis, survival and oncogenic transformation. RAF1 activation initiates a mitogen-activated protein kinase (MAPK) cascade that comprises a sequential phosphorylation of the dual-specific MAPK kinases (MAP2K1/MEK1 and MAP2K2/MEK2) and the extracellular signal- regulated kin [...] 
10090.ENSMUSP00000000466	Plin2	425	Perilipin-2; May be involved in development and maintenance of adipose tissue.
10090.ENSMUSP00000000500	Pdgfb	241	Platelet-derived growth factor subunit B; Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal proliferation and recruitment of pericytes and vascular smooth muscle cells in the central nervous system, skin, lung, heart and placenta. Required for normal blood vessel development, and for normal development of kidney glomeruli. Plays an important role in wound healing. Signaling is modulated by the formation of heterodimers wit [...] 
10090.ENSMUSP00000000505	Mcm7	719	DNA replication licensing factor MCM7; Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differential [...] 
10090.ENSMUSP00000000542	Acvrl1	502	Serine/threonine-protein kinase receptor R3; Type I receptor for TGF-beta family ligands BMP9/GDF2 and BMP10 and important regulator of normal blood vessel development. On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. May bind activin as well.
10090.ENSMUSP00000000543	Grasp	392	General receptor for phosphoinositides 1-associated scaffold protein; Plays a role in intracellular trafficking and contributes to the macromolecular organization of group 1 metabotropic glutamate receptors (mGluRs) at synapses.
10090.ENSMUSP00000000544	Acvr1b	505	Activin receptor type-1B; Transmembrane serine/threonine kinase activin type-1 receptor forming an activin receptor complex with activin receptor type-2 (ACVR2A or ACVR2B). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating a many physiological and pathological processes including neuronal differentiation and neuronal survival, hair follicle development and cycling, FSH production by the pituitary gland, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. Activin is also thought to have a paracrine or autocrine  [...] 
10090.ENSMUSP00000000573	Ovgp1	721	Oviduct-specific glycoprotein; Binds to oocyte zona pellucida in vivo. May play a role in the fertilization process and/or early embryonic development.
10090.ENSMUSP00000000574	Adora3	319	Adenosine receptor A3; Receptor for adenosine. The activity of this receptor is mediated by G proteins which inhibits adenylyl cyclase.
10090.ENSMUSP00000000579	Sox9	507	Transcription factor SOX-9; Transcriptional regulator that plays a role in chondrocytes differentiation and skeletal development. Binds to the COL2A1 promoter and activates COL2A1 expression, as part of a complex with ZNF219.
10090.ENSMUSP00000000590	Rdx	583	Radixin; Probably plays a crucial role in the binding of the barbed end of actin filaments to the plasma membrane.
10090.ENSMUSP00000000594	C1d	141	Nuclear nucleic acid-binding protein C1D; Plays a role in the recruitment of the RNA exosome complex to pre-rRNA to mediate the 3'-5' end processing of the 5.8S rRNA; this function may include MPHOSPH6. Can activate PRKDC not only in the presence of linear DNA but also in the presence of supercoiled DNA. Can induce apoptosis in a p53/TP53 dependent manner. May regulate the TRAX/TSN complex formation. Potentiates transcriptional repression by NR1D1 and THRB (By similarity); Belongs to the C1D family.
10090.ENSMUSP00000000608	Gm2a	193	Ganglioside GM2 activator; Binds gangliosides and stimulates ganglioside GM2 degradation. It stimulates only the breakdown of ganglioside GM2 and glycolipid GA2 by beta-hexosaminidase A. It extracts single GM2 molecules from membranes and presents them in soluble form to beta- hexosaminidase A for cleavage of N-acetyl-D-galactosamine and conversion to GM3. The large binding pocket can accommodate several single chain phospholipids and fatty acids, GM2A also exhibits some calcium-independent phospholipase activity.
10090.ENSMUSP00000000619	Clcn4	747	H(+)/Cl(-) exchange transporter 4; Proton-coupled chloride transporter. Functions as antiport system and exchanges chloride ions against protons (By similarity). Belongs to the chloride channel (TC 2.A.49) family. ClC- 4/CLCN4 subfamily.
10090.ENSMUSP00000000641	Sema4f	777	Semaphorin-4F; Probable cell surface receptor that regulates oligodendroglial precursor cell migration. Might also regulate differentiation of oligodendroglial precursor cells (By similarity). Has growth cone collapse activity against retinal ganglion-cell axons (By similarity).
10090.ENSMUSP00000000642	Hk2	917	Hexokinase-2; Catalyzes the phosphorylation of hexose, such as D-glucose and D-fructose, to hexose 6-phosphate (D-glucose 6-phosphate and D- fructose 6-phosphate, respectively) (By similarity). Mediates the initial step of glycolysis by catalyzing phosphorylation of D-glucose to D-glucose 6-phosphate (By similarity). Plays a key role in maintaining the integrity of the outer mitochondrial membrane by preventing the release of apoptogenic molecules from the intermembrane space and subsequent apoptosis.
10090.ENSMUSP00000000687	Haao	286	3-hydroxyanthranilate 3,4-dioxygenase; Catalyzes the oxidative ring opening of 3-hydroxyanthranilate to 2-amino-3-carboxymuconate semialdehyde, which spontaneously cyclizes to quinolinate.
10090.ENSMUSP00000000696	Cd52	74	CAMPATH-1 antigen; May play a role in carrying and orienting carbohydrate, as well as having a more specific role.
10090.ENSMUSP00000000707	Loxl3	754	Lysyl oxidase homolog 3; Protein-lysine 6-oxidase that mediates the oxidation of peptidyl lysine residues to allysine in target proteins. Catalyzes the post-translational oxidative deamination of peptidyl lysine residues in precursors of elastin and different types of collagens, a prerequisite in the formation of cross- links between collagens and elastin. Required for somite boundary formation by catalyzing oxidation of fibronectin (FN1), enhancing integrin signaling in myofibers and their adhesion to the myotendinous junction (MTJ). Acts as a regulator of inflammatory response by inh [...] 
10090.ENSMUSP00000000717	Tcl1b5	121	Protein TCL1B5; Belongs to the TCL1 family.
10090.ENSMUSP00000000718	Tcl1b4	120	Protein TCL1B4; Belongs to the TCL1 family.
10090.ENSMUSP00000000724	Kat2b	813	Histone acetyltransferase KAT2B; Functions as a histone acetyltransferase (HAT) to promote transcriptional activation. Has significant histone acetyltransferase activity with core histones (H3 and H4), and also with nucleosome core particles. Also acetylates non-histone proteins, such as ACLY, PLK4, RRP9/U3-55K and TBX5. Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers. Involved in heart and limb development by mediating acetylation of TBX5, acetylation regulatin [...] 
10090.ENSMUSP00000000727	Rab5b	215	Ras-related protein Rab-5B; Protein transport. Probably involved in vesicular traffic (By similarity); Belongs to the small GTPase superfamily. Rab family.
10090.ENSMUSP00000000755	Sult5a1	291	Sulfotransferase; Belongs to the sulfotransferase 1 family.
10090.ENSMUSP00000000756	Rpl13	211	60S ribosomal protein L13; Belongs to the eukaryotic ribosomal protein eL13 family.
10090.ENSMUSP00000000759	Chmp1a	196	Charged multivesicular body protein 1a; Probable peripherally associated component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the [...] 
10090.ENSMUSP00000000767	Rpa1	644	Replication protein A 70 kDa DNA-binding subunit; As part of the heterotrimeric replication protein A complex (RPA/RP-A), binds and stabilizes single-stranded DNA intermediates, that form during DNA replication or upon DNA stress. It prevents their reannealing and in parallel, recruits and activates different proteins and complexes involved in DNA metabolism. Thereby, it plays an essential role both in DNA replication and the cellular response to DNA damage. In the cellular response to DNA damage, the RPA complex controls DNA repair and DNA damage checkpoint activation. Through recruit [...] 
10090.ENSMUSP00000000769	Serpinf1	417	Pigment epithelium-derived factor; Neurotrophic protein; induces extensive neuronal differentiation in retinoblastoma cells. Potent inhibitor of angiogenesis. As it does not undergo the S (stressed) to R (relaxed) conformational transition characteristic of active serpins, it exhibits no serine protease inhibitory activity.
10090.ENSMUSP00000000776	Tubgcp3	905	Gamma-tubulin complex component 3; Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome.
10090.ENSMUSP00000000804	Ddx3x	662	ATP-dependent RNA helicase DDX3X; Multifunctional ATP-dependent RNA helicase. The ATPase activity can be stimulated by various ribo-and deoxynucleic acids indicative for a relaxed substrate specificity. In vitro can unwind partially double-stranded DNA with a preference for 5'-single-stranded DNA overhangs. Binds RNA G-quadruplex (rG4s) structures, including those located in the 5'-UTR of NRAS mRNA. Involved in many cellular processes, which do not necessarily require its ATPase/helicase catalytic activities. Involved in transcription regulation. Positively regulates CDKN1A/WAF1/CIP1 t [...] 
